userName,content,score
KEDAI JASUN,tidak bisa update,1
Nadira Firmana,dua jempol,5
Endy Endy,ska,5
adezaenalwae ade,Selamat malam dan selamat tidur ya allah semoga bermanfaat untuk orang yang paling penting,1
Abdul Ajaajaa,kerja keras,5
Cakra Anom,"paling benci dengan media sosial youtube ini, kita komen sesuai aturan pun komen kita dihapus otomatis. koar² demokrasi NATO tp yg ada pembungkaman",1
bunda alma,tidak dapat buka youtube,5
Miftahudin,Apk tidak bisa dibuka,1
Bilalangdua Papaebi,sangat baik sekali,1
Rio Dctrs,agak nyendat nyendat setelah update,1
bks ks,Mantap,5
matz skaphobia28,tolong dong jangan campuri sama iklan iklan,1
Suhadi Hadi,ok,5
RIDWAN HARYANTO,fix,5
Alam Bahrul,Sangat menarik,1
Asep Koncleng,Top,4
Jordan Paulus Sibarani,Tulang/Nantulang kak Dahi Allah Surga Allah( youtube He Will Come Again kedua) di bumi semuanegaralama kedua langsung maya dan nyata terimakasih😊,5
Yana Maulana,cerita drama nya seru banget,5
kholid,perantau,5
Sani Gundul,cepat membaik yutube ku kluar sendiri wae,5
Dede Atin,ok,5
udung Gareng,Adgh,5
Deanby Pratama,mantapp,5
Asria Ilyas,Ok mantap,5
Abdulkadir Jailani,bagus,5
Kasinem Kasinem,Sangat bagus,5
Naily Safaata,bgus,5
Angga Adit,Bagus,5
Marjono Gandung,Sempurna,5
Al Zhafian,"aplikasi youTube sangat bagus saya bangga pada youTube karena saya bisa melihat video-video yang seru untuk di lihat video youtuber, animasi, gaming bisa dilihat dari aplikaai youTube dan aplikasi youTube ini sangat seru sekali dan saya bisa nyaman melihat video-video si YouTube ini",5
Riss Wandy,sangat cocok untuk menonton,5
Syarifah 1977,🐷,1
Sumiati Cilegon,suruh update tapi malah gabisa bisa juga,1
Ricky Fauzan,sayang nya gak bisa di buka,5
Asep syaputra Asep,mantap,5
Maverick John,"saya mengasih bintang 4,karena sering terjadi eror lalu saat saya membikin video tiba-tiba eror tolong ini di perbaikin lagi ya aplikasih nya supaya tidak terjadi eror lagi.",4
Renberg Seregh,Yeayy,5
Rukmana Maulana,Bagus,5
fahrudin alawi,excellent,5
Sukorambi Jmbet,Lagu solawat,5
bhovans Ome,Mantapq,5
Adis Fadilah,Well,5
MARIO SENGAJI,gk bisa di buka,1
Yanto Yanto,Bgus,1
Fitri Asih,burul,1
Agus Tina,Gak bisa di bukak,5
"Muhammad,s AlMustopa",antusias diri sendiri,5
Moh sehri,berjuanglah,5
kayla Wulandari _26 channel wulan,YouTube sangan sangat menghemat Batray kita dan banyak filom yg Kita bisa lihatkan di youTube YouTube ini bisa mgenghibur kanora Dan DLL,5
Samsung J5,Ngga bisa di bukq,1
Bintang Alifah Zhafirah,Bagus banget apk nya...... Mampir yuk ke channel aku *Bintang Alifah Zhafirah*,5
Jenahara Ayu,"Seru sih buat adek aku,cuman dia kebanyakan eror mulu,jadi aku kasih bintang 4:)",5
Oppo Mlw,weli,5
Neraazurio19 Rivaldho,Bagus,5
y/n,"Thank you, I was finally able to create a new account. I hope YouTube always succeeds",4
Maryati,YouTube aplikasi favorit tapi sekarang kenapa begitu sulit untuk membuka nya..,5
Edi Safaat,baik,1
mia Halim,yutube pencarian ku,5
Viandra Zaki,bagus bagus sekali,5
Pak anis Anis,Terimakasih,5
Khairul Anwar,nice,5
Eboy Edi,Edy Boy,5
Abah Topson,Tidak ada,5
Adinda Nabila,bisa cari ilmu di YouTube,5
Ramli Daxx,Bagus,5
Agus Wahyudi,Ok,5
Umi,umi mau film india yang pake bahasa indonesia,5
Parningotan Malau,ini saya mau buka you Tobi knpa ngga bisa mohon bantuannya makasih .ini dibilang LG terjadi masalah selfer knp ya tolong bantu dong KK Abang ya mksh .kok lama amat download nya tolong dong dipercepat,2
H'Musliech Doel Muis'Bundha ISah' slich.,saya TahunVidio dan Yutuber.Saya mintahvHadirnya Mksih Karena Bikhin Grup Dan Ahung Grup Dang Ikut wassallamm Shobat Percebook dan Yutuber.Saya,5
Adi,Siap,5
Ulfiaturrahmi Marwan,sangat puas,5
hari Yono,sangat bagus,5
Katnidi,Ole,5
temu Sopi,mantap,5
Hendra Hendra,yutuber saya tiba tiba terjadi masalh,3
Quen,susah x mau update sih,1
Dunden Dunden,Aplikasi ini bagus,4
Andri Awan,Sanggat senang,5
Rondi Rondi,Good,5
Ahmad Efendi,Bagusekali,1
alvin Alwafir,Ok mnataf,5
amzar della,Sangat bagus,5
Sugi Cod,Kenapa gak bisa,5
Mastarno No,Bagus,5
fansjhesno limit,app good,5
Anis Johan,bukan,5
Nande Aron,sangat tidak bagus,5
Mul Yadi,Kurang memuaskan,4
Syahril As,Mantap,5
Gudang Pluit,bgus,5
Lasidi Keren,Uin,2
Rara Risnawati,oke,5
Wayan dejati,keren,5
B My,Gimana caranya yutube biarbisa dibuka lgi,5
Za Kia,"bagaimana caranya agar saya bisa kembali memakai aplikasi you tube ini, mohon bantu",5
siin kodir,Bagus,5
Ragil Jaya,Ok,5
Meilina Afifa,You.tube,5
Darsuan Djohan,sangat.membantu dan baik sekali,5
Wawan Kurniawan,oke,5
Imron rosadi,Sangat puas,5
Agil Nur muhammad,Keren bagus,5
Lumbung Usaha bersama,Ok.,5
Mamah Aja,kurang,3
Minda Han,mengapa YouTube nya gak bisa,2
adi Arman,tidakbisadipakai mohondiperbaiki,5
inah Inah,Luar biasa,5
Kui Aku,banyak konten yang tidak sesuai,3
Bozes Id,bagus,1
Shejendol Tea,mantap,5
Sri Charolina,ok,5
Mulyadi amanbanten,"niat ngarawu ku siku achirna Tamiang meulit kabitis. aduh kumaha daramang dulur sadayana, syukur ari daramangnya ??? ieu BP Aing cenah bade ngarehab Bandara NUSAWIRU,ath kumaha yeuh Bandara tandinganna anu dibulak Laut, kapan waktos nyuwunna jang Panghijauan, naha janteun Kapal udara anu depa sapertos kebo. ari eta teh HARIM LAUT, Nah PKL Teu kenging icalan ditanah Harim Laut, sihoreng KAMPUNG TURIS sanes Harim Laut kitu, kapan jelas 150 mtr ti biwir pantai dugi ka Punduk Jalan eta Harim Laut ,",4
Putri Alaska,"Dydudej,j",5
Caman Khan,Bagus,5
Sykr MnR,ok makasih,5
Aqis Hana,saya harap cara-cara untuk mengedit bisa di benar kan lagi seperti dulu oleh YouTube karena itu mengganggu untuk mengedit,2
Ric Wal,makasih min ini cocok buat nonton bokep,5
Cattqill,baik,1
Reji Reji,tidal visa login,2
Memi Yulita,nonton keluwarga,5
Restu Restu,Bagus,5
Rusma Nijar,oke,5
Muhammad usman Usman,masuk,1
Fatin Ulpi,"keluar"" trus g jelas bgt mkin kesini",1
Indira ariyani Rahmasari,"I'm hating it now, cuz YouTube doesn't explain how to turn off the ai dub, I want to hear my content creator English native and it's translated to my native language, like the sound is so weird making me can't enjoyed fully when watching shorts or any content on YouTube.. why YouTube added this when no body ask THIS ‼️‼️‼️ like at least make it have an option to turn it of or on whenever I please, it's just added without my permission or concern, AT L",1
Alwi Alwi,Fadil,2
Denis Kurniawan,bagus,5
Bangmull Mulll,good,5
Rudi Rudiman,Kenapa youtube gk bisa di pake,1
Syamsul Arifinwww,Bagus dan sangat membantu👍,5
Febri Yansag,tidak bisa di buka,3
Deddy Agustomi Tamba,oke,5
Suhar Tina,TOPEK,4
Andy Chris,Nice,5
santa0910 posanta,Good,5
riki setiawan,assalamuallaikum wr wb,5
rafi channel,aplikasi sangat membantu ekonomi bagi yang kreatif dan mengerti,5
Andi Pramono,bxeizmt,3
Iis Setiawati,bagus,5
Jhon Aziz,good,4
bungirfan amazing,masak aku pas ngonten ga rame biasanya rame konten random gitu aneh 🤬,1
Asry Pramana putra,pak saya mau buka you tube gakk bisa nih,5
Akra Sanjaya,bagus,5
betu kayoi betu kayoi,betul kayoi@milcom,5
Alex Nana,suka,5
Akhmad Brebes,ya' ya,5
Neng Lusy,Bagus,1
Andtry79,Saya tidak bisa liat youtube,5
Pak Odak,Suarbiasah sangat meyenangkan,5
ARFACELL Oppoalimaess,woy kenapa sih habis iklan itu masih ada fitur apk nya kan misal nih aku lagi nonton trs ada iklan dan ada fitur apk nya dan nganggu bgt kalo ngetik di YouTube jadi keganggu minimal update lahh,2
ahmad sofyan,"youtube plis benerin bug yang dimana semua search aku hilang, plis youtube benerin bug itu sementara aku kasih bintang 2,",2
Lely Novita,elegan,5
Priv Privot,bagus,5
Teguh Hariyono,bagus,5
Sikilbau Tanah,#perasaan ini telah di hapuss janda hapuss apli kasi inih emang mantap,5
Awi Hermansyah,ok,2
Alvian Mamondol,saya suka dengan aplikasi youtube,5
Tegar Tripratama,Verry Good,4
KK neo Ngurmetan,Saya suka,5
Jay Tea,ok,4
Abhi Nanda,Saya tidak bisa. menonton Youtube,4
Tebo Mantab21,Bagus,5
Aan O_on sragen,OK ok,5
Yuda Gunawan,tolong kenapa youtube tiba tiba tidak bisa melanjutkan memutar vidio. padahal jaringan aman. dan kenapa chace youtube sangat banyak. 1GB . sebenarnya nyimpan apa sih?,3
Iswati,saya suka liat di sinetron lewat YouTube soal nya lebih jelas dan tidak banyak iklan,4
Welli Mety,you Tube,1
Kelpin Winanda,Mntap,4
Jasanta Ketaren,sangatlah bermanfaat,5
SAM SUDIN,mantap min,5
Puput Puput226,bagus,5
Alyssa Indah,Siaran langsung bagio laras,1
Afifah Nisya,"aa£@##,, 4447* OOPPPPO OIU TERUS PL PUN TI",5
Satriya Aja,mantap selalu.... gak pernah bosen.... buat nonton,5
Ken Kariim B,top,5
Isti qomah,lebih sering nonton,5
Iqzam Ilham,Berhasil,5
Ena Rohaendi,"setelah diupdate malah banyak bug, tolol! tolol!",1
Yuliani Ani,cek,5
Nur suci fibriyani Fibi,kurang baik karna setelah saya updet tetap saja tidak bisa di paakai tapibya okelah sayauodet lagi dan masih nunggu,4
Iwan Aja,makin rebet,5
Alula Yusfinaramadhani,saya mau bikin youtube,5
Jamudin R,mntap,5
abdi boss,siip...bagus ...,5
Soma Wijaya,Abay,5
Manurung Manurung,enggak,3
Azeo Tarigas,"sangat enak diakai,,,,,,",5
Wartono Wame800,Bagus,5
Anggi Anggi,keren cocok untuk konten kreator 💪,5
subang Kota,ok,5
Pakarrentcarbandung,b aja,5
Wahyudi Boy,mantap,5
Refa Ayu R,Oke deh,3
Sabri Jaya,sya,5
Naira Adelia,sangat bagus untuk melihat Korizen asu,5
Gabrlizz92 Jordanig81,mantap,5
Arya guna Guna,thomas arya. malasia.,5
dede abdulrahman,bagus aplikasi nya sangat membantu,5
Fadira Ida,Bagus banget,5
Rafa Aditya,Sangatpuad,5
naufalyas,Bagus Nice,5
